model,metric,variation,train_size,test_size,batch_size,interval,n_edge,metric_value
qwen2.5-1.5b-instruct,diff,C,50,20,1,99.0|101.0,120,100.0
qwen2.5-1.5b-instruct,diff,A,50,20,1,99.0|101.0,162,100.0
qwen2.5-1.5b-instruct,diff,computation,50,20,1,99.0|101.0,242,99.18032786885246
